Artistas femeninas;Posición en ranking Billboard;Ojos;altura;contextura corporal;simetría facial;labios;perfil facial;cabello;color de piel;estética musical dinámica/marcada;presencia escénica (shows con narrativa, baile, etc.);edad de peak en éxito;cantidad de Interacción con el público;tipo de interacción con el público;Vestuario apariciones públicas;Estilo interpretativo;Narrativa personal;impacto cultural;presencia digital y multiplataforma
Beyonce;1;medianos;media alta;mesomorfo-ectomofro;si;prominentes;marcado;largo;medio;marcada;si;>21;media;Energética y performativa;temáticos/por era musical;energética;Imperio Propio;Voces significativas;Altamente activas y estratégicas
Taylor swift;2;grandes;alta;ectomorfo;si;medios;no marcado;largo;claro;dinamica;si;>21;alta;íntima y personalizada;temáticos/por era musical;emocional/intima;Imperio Propio;Defensoras activas de causas sociales;Altamente activas y estratégicas
Rihanna;3;grandes;alta;mesomorfo;si;prominentes;marcado;largo;oscuro;dinamica;si;>21;baja;provocadora y confrontacional;Vanguardistas;energética;Imperio Propio;Voces significativas;Altamente activas y estratégicas
Lady Gaga;5;grandes;baja;mesomorfo-ectomorfo;no ;medios;marcado;corto;claro;dinamica;si;<21;media;Energética y performativa;temáticos/por era musical y vanguardistas;teatral/performática;Resiliente Ícono de Superación Pública;Defensoras activas de causas sociales;Altamente activas y estratégicas
Britney Spears;6;medianos;media baja;mesomorfo;parcial;delgados;no marcado;largo;claro;marcada;si;>21;baja;provocadora y confrontacional;Básicos y consistentes;emocional/intima;Resiliente Ícono de Superación Pública;Defensoras activas de causas sociales;Presencia reducida
Ariana Grande;9;grandes;baja;ectomorfo;si;medios;no marcado;largo;medio;marcada;si;<21;baja;íntima y personalizada;Básicos y consistentes;emocional/intima;Estrella Bajo el Foco Mediático;Defensoras activas de causas sociales;Altamente activas y estratégicas
Adele;10;medianos;alta;endomorfo;no;prominentes;no marcado;medio;claro;marcada;si;>21;baja;íntima y personalizada;Básicos y consistentes;emocional/intima;Resiliente Ícono de Superación Pública;participación menos visible ;Presencia selectiva
Nicki Minaj;13;medianos;baja;endomorfo-mesomorfo;no ;prominentes ;marcado;largo;medio ;dinamica;si;<21;media;provocadora y confrontacional;temáticos/por era musical y vanguardistas;energética;Imperio Propio;Defensoras activas de causas sociales;Altamente activas y estratégicas
Miley cyrus;15;grandes;media alta;mesomorfo-ectomorfo;parcial;medios;marcado;medio;claro;dinamica;si;>21;alta;íntima y personalizada;Vanguardistas;teatral/performática y energética ;Resiliente Ícono de Superación Pública;Defensoras activas de causas sociales;Altamente activas y estratégicas
Shakira;17;pequeños;baja;mesomorfo;no ;medios ;no marcado;largo;medio ;marcada;si;<21;alta;Energética y performativa;Básicos y consistentes;energética;Camaleónica del Pop;participación menos visible;Moderadamente activas
Katy Perry;25;grandes;alta;mesomorfo ;si;medios ;marcado;medio;claro;dinamica;si;<21;alta;Energética y performativa;temáticos/por era musical;teatral/performatica;Camaleónica del Pop;Defensoras activas de causas sociales;Moderadamente activas