Artistas femeninas;Ojos;altura;contextura corporal;simetría facial;labios;perfil facial;cabello;color de piel;estética musical dinámica/marcada;presencia escénica (shows con narrativa, baile, etc.);edad de peak en éxito;cantidad de Interacción con el público;tipo de interacción con el público;Vestuario apariciones públicas;Estilo interpretativo;Narrativa personal;impacto cultural;presencia digital y multiplataforma
Beyonce;3;4;2;1;4;1;4;3;3;0;1;3;1;1;1;1;0;0
Taylor swift;4;5;2;1;3;0;4;4;2;0;1;4;2;1;2;1;1;0
Rihanna;4;5;3;1;4;1;4;2;2;0;1;2;3;2;1;1;0;0
Lady Gaga;4;2;2;0;3;1;2;4;2;0;0;3;1;3;3;2;1;0
Britney Spears;3;3;3;0;2;0;4;4;3;0;1;2;3;4;2;2;1;1
Ariana Grande;4;2;2;1;3;0;4;3;3;0;0;2;2;4;2;3;1;0
Adele;3;5;4;0;4;0;3;4;3;0;1;2;2;4;2;2;2;2
Nicki Minaj;3;2;3;0;4;1;4;3;2;0;0;3;3;3;1;1;1;0
Miley cyrus;4;4;2;0;3;1;3;4;2;0;1;4;2;2;4;2;1;0
Shakira;2;2;3;0;3;0;4;3;3;0;0;4;1;4;1;4;2;3
Katy Perry;4;5;3;1;3;1;3;4;2;0;0;4;1;1;3;4;1;3